coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,,0002,4,T R,7-8,STZ,0104,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,,0003,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2071,,0010,3,T R,3-4,STZ,0104,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,2071,,0011,3,,,WEB,,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,3481,,0168,3,T RF,5-6,GER,0126,ACC INFO & BUS PROC 1,"Reppenhagen,David A;",F,8,GER,0126
ACG,3481,,0204,3,T R,3-4,GER,0121,ACC INFO & BUS PROC 1,"Reppenhagen,David A;",F,7,GER,0126
ACG,3482C,,0333,4,M W,3-4,GER,0122,ACC INFO & BUS PROC 2,"Kirk,Marcus;Tan-yan,Martine J;",F,5-6,GER,0121
ACG,3482C,,0338,4,M W F,5-6,GER,0126,ACC INFO & BUS PROC 2,"Asare,Stephen K;Warnock,Kira M;",F,7-8,GER,0121
ACG,3482C,,0345,4,M W F,5-6,GER,0126,ACC INFO & BUS PROC 2,"Asare,Stephen K;Warnock,Kira M;",F,9-10,GER,0121
ACG,3802,,9457,1,R,11E1,GER,0126,PROF SPEAKERS SERIES,"Boyles,Jesse V;",,,,
ACG,4133C,,0016,4,T RF,3-4,GER,0228,FINANCIAL ACCOUNTING,"McDonald,Charles L;Singh,Sonia R;",,,,
ACG,4133C,,0017,4,T R,7-8,GER,0121,FINANCIAL ACCOUNTING,"McDonald,Charles L;Singh,Sonia R;",F,7-8,GER,0228
ACG,4133C,,6739,4,T R,5-6,GER,0229,FINANCIAL ACCOUNTING,"Rupar,Katarzyna;Singh,Sonia R;",F,5-6,GER,0228
ACG,4352C,,5276,4,M W,7-8,GER,0126,COST & MANAG ACCOUNT,"Erenguc,Nurhan S;Tarrash,Bradley M;",F,1-2,GER,0122
ACG,4352C,,5277,4,M W,7-8,GER,0126,COST & MANAG ACCOUNT,"Erenguc,Nurhan S;Tarrash,Bradley M;",F,5-6,GER,0122
ACG,4352C,,5286,4,M W,9-10,GER,0121,COST & MANAG ACCOUNT,"De Leo,Nikolai S;Erenguc,Nurhan S;",F,3-4,GER,0122
ACG,4941,,DEPT,VAR,TBA,,,,SUPERVISED INTERNSHIP,"Desantiago,Dominigue A;",,,,
ACG,4970,,DEPT,1,TBA,,,,HONORS THESIS,"Desantiago,Dominigue A;",,,,
ACG,5005,,6871,2,T R,3-4,HGS,140,FINANCIAL ACCOUNTING,"Goslinga,Jill Kristen;",,,,
ACG,5075,,6883,2,T R,3-4,HGS,140,MANAGERIAL ACCOUNTING,"Goslinga,Jill Kristen;",,,,
ACG,5226,,4599,2,M W,3-4,GER,0126,MERGERS CONSOL STATEM,"McDonald,Charles L;",,,,
ACG,5637,,0197,3,M W,9-10,GER,0126,AUDITING 1,"Tucker,Robert R;",,,,
ACG,5815,,4852,2,M W,3-4,GER,0126,ACC INST & PROF LIT,"McDonald,Charles L;",,,,
ACG,6136,,3282,2,T R,7-8,GER,0122,AC CONCEPTS/FIN REPOR,"Tucker,Jennifer Wu;",,,,
ACG,6207,,3294,2,T R,5-6,GER,0228,AC ISSUES FIN RISK,"Madsen,Paul;",,,,
ACG,6207,,3375,2,T R,7-8,GER,0228,AC ISSUES FIN RISK,"Madsen,Paul;",,,,
ACG,6657,,4633,2,M W,1-2,GER,0126,AUDIT CORP GOVERNANCE,"Knechel,W R;",,,,
ACG,6888,,1947,2,M W,7-8,GER,0122,FOUNDAT MEASUREMENT,"Kirk,Marcus;",,,,
ACG,7886,,DEPT,4,TBA,,,,ACCOUNTING RESEARCH 2,"Tucker,Jennifer Wu;",,,,
ACG,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Asare,Stephen K;",,,,
ACG,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,"Asare,Stephen K;",,,,
TAX,5005,,5296,3,T R,7-8,GER,0126,INTRO FED INCOME TAX,"Boyles,Jesse V;",,,,
TAX,5065,,4729,2,T R,3-4,GER,0122,TAX PROF RESEARCH,"Boyles,Jesse V;",,,,
TAX,5065,,5337,2,T R,5-6,GER,0122,TAX PROF RESEARCH,"Boyles,Jesse V;",,,,
TAX,6017,,5340,2,T R,3-4,GER,0126,TAX BUS ENTITIES 3,"Boyles,Jesse V;",,,,
TAX,6526,,4760,2,M W,3-4,GER,0121,ADV INTERNAT TAXATION,"Mcgill,Gary A;",,,,
TAX,6526,,4788,2,M W,5-6,GER,0121,ADV INTERNAT TAXATION,"Mcgill,Gary A;",,,,
ADV,3001,,5099,3,M,7-8,WEIM,G030,ADVERTISING STRATEGY,"Morton,Cynthia R;",W,8,WEIM,G030
ADV,3001,,8685,3,M,6-7,WEIM,1094,ADVERTISING STRATEGY,"Kim,Dae-hee;",W,7,WEIM,1094
ADV,3008,,0058,3,T,8-9,WEIM,1064,PRINCIPLE OF ADVERTIS,"DiPasquale,Dennis A;",R,9,WEIM,1064
ADV,3008,,5632,3,T,3,MCCC,0100,PRINCIPLE OF ADVERTIS,"Weigold,Michael Fredrick;",R,3-4,MCCC,0100
ADV,3008,,6759,3,M W F,3,FLG,0245,PRINCIPLE OF ADVERTIS,"Lee,Jaejin;",,,,
ADV,3203,,9286,3,T,8,FLG,0270,INTRO DESIGN/GRAPHICS,"Elias,Troy;",R,7-8,FLG,0210
ADV,3500,,5082,3,M,3-4,WEIM,1094,ADVERTISING RESEARCH,"Song,Doori;",W,3,WEIM,1094
ADV,3500,,9212,3,T,7,WEIM,1084,ADVERTISING RESEARCH,"Kim,Hyojin;",R,7-8,WEIM,1084
ADV,3502,,5308,3,T,7,FLG,0285,ADVERTISING SALES,"Starr,Walter J;",R,7-8,FLG,0285
ADV,4101,,0064,3,W,5-6,ROL,0205,COPY & VISUALIZATION,"Guthrie,Kevin L;",W,9-10,WEIM,2050
ADV,4101,,0067,3,W,5-6,ROL,0205,COPY & VISUALIZATION,"Habib,Sabrina H;",R,3-4,WEIM,2050
ADV,4101,,5106,3,W,9-10,WEIM,2056,COPY & VISUALIZATION,"Cozart,Christina Loosli;",R,10,WEIM,3028
ADV,4101,,5374,3,T,3-4,WEIM,1092,COPY & VISUALIZATION,"Duke,Lisa Lee;",R,3-4,WEIM,2056
ADV,4101,,9234,3,T,3-4,WEIM,1098,COPY & VISUALIZATION,"Goodman,Jennifer Robyn Potter;",W,4-5,WEIM,2056
ADV,4102,,DEPT,3,TBA,,,,ADVANCED COPYWRITING,"Goodman,Jennifer Robyn Potter;",,,,
ADV,4300,,0070,3,M W F,3,WEIM,1084,MEDIA PLANNING,"Asim,Mian M;",,,,
ADV,4300,,8504,3,T,7,MAEB,0211,MEDIA PLANNING,"Zheng,Lu;",R,7-8,MAEB,0211
ADV,4400,,0469,3,,,WEB,,INTERNATNL ADVERTISNG,"Park,Sun Young;",,,,
ADV,4400,,DEPT,3,,,WEB,,INTERNATNL ADVERTISNG,"Rhee,Eun Soo;",,,,
ADV,4800,,0073,3,M,3-4,WEIM,G030,ADVERTISING CAMPAIGNS,"Morris,Jon D;",W,3,WEIM,G030
ADV,4800,,3416,3,T,5-7,WEIM,G030,ADVERTISING CAMPAIGNS,"Wilson,David Winslow;",,,,
ADV,4905,,DEPT,VAR,TBA,,,,INDIVIDUAL PROBLEMS,"Sutherland,John C;",,,,
ADV,4905,,DEPT,1,W,9,WEIM,1064,CULTURE OF ADVERTISIN,"Sutherland,John C;",,,,
ADV,4930,,5166,3,T,6-7,MCCA,1142,EMERGING MEDIA & ADV,"Lee,Chunsik;",R,7,MCCA,1142
ADV,4930,,9034,3,T,3-4,WEIM,G030,DIGITAL MEDIA ADV,"Kim,Hyojin;",,,WEB,
ADV,4931,,5833,2,M,7-8,WEIM,1084,ETHICS & PROBS IN ADV,"Jung,Wan Seop;",,,,
ADV,4940,,DEPT,VAR,TBA,,,,ADVERTISING INTERNSHP,"Sutherland,John C;",,,,
AFA,2000,,0209,3,M W F,2,TUR,2318,INTR AFRICAN AMER STU,"Banton,Nicole E;",,,,
AFA,2000,,1373,3,M W F,8,LIT,0233,INTR AFRICAN AMER STU,"Taylor,Courtney Moore;",,,,
AFA,2000,,2517,3,M W F,5,FAC,0127,INTR AFRICAN AMER STU,"Taylor,Courtney Moore;",,,,
