coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,$9.10,0002,4,TBA,,,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,$9.10,0003,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,$9.10,039F,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2071,$9.10,0010,4,TBA,,,,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,2071,$9.10,0011,4,,,WEB,,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,3101,$2.25,04AA,4,T R,7-8,GER,0126,FIN ACCOUNTING REP 1,"Kirk,Marcus;",,,,
ACG,3101,$2.25,04AB,4,T R,5-6,GER,0126,FIN ACCOUNTING REP 1,"Kirk,Marcus;",,,,
ACG,3401,$2.25,04AC,4,M W,1-2,GER,0126,BUS PROC ACG INFO SYS,"Falk,Christopher W;",,,,
ACG,3401,$2.25,04AE,4,M W,3-4,GER,0126,BUS PROC ACG INFO SYS,"Falk,Christopher W;",,,,
ACG,3802,$.70,9457,1,R,11E1,GER,0126,PROF SPEAKERS SERIES,"Boyles,Jesse V;",,,,
ACG,4111,$2.25,04AF,4,T R,3-4,GER,0121,FIN ACCOUNTING REP 2,"Driskill,Matthew W;",,,,
ACG,4111,$2.25,04AH,4,T R,3-4,GER,0122,FIN ACCOUNTING REP 2,"Rupar,Katarzyna;",,,,
ACG,4111,$2.25,04A0,4,T R,5-6,GER,0122,FIN ACCOUNTING REP 2,"Rupar,Katarzyna;",,,,
ACG,4341,$2.25,04A3,4,M W,7-8,GER,0122,COST MGMNT ACCOUNTING,"Vincent,James D;",,,,
ACG,4341,$2.25,04A4,4,M W,5-6,GER,0126,COST MGMNT ACCOUNTING,"Kramer,Sandra S;",,,,
ACG,4341,$2.25,04A5,4,M W,7-8,GER,0126,COST MGMNT ACCOUNTING,"Kramer,Sandra S;",,,,
ACG,4632,,DEPT,3,M W,7-8,GER,0228,INTRO TO AUDITING,"Ciconte,William A III;",,,,
ACG,4941,,DEPT,VAR,TBA,,,,SUPERVISED INTERNSHIP,"Desantiago,Dominigue A;",,,,
ACG,5005,$4.35,0931,2,M W,5-6,HGS,150,FINANCIAL ACCOUNTING,"Goslinga,Jill Kristen;",,,,
ACG,5005,$4.35,6871,2,M W,3-4,HGS,150,FINANCIAL ACCOUNTING,"Goslinga,Jill Kristen;",,,,
ACG,5075,$4.35,1A03,2,T R,7-8,HGS,240,MANAGERIAL ACCOUNTING,"Vincent,James D;",,,,
ACG,5075,$4.35,6883,2,T R,5-6,HGS,240,MANAGERIAL ACCOUNTING,"Vincent,James D;",,,,
ACG,5226,$4.35,04C7,2,M W,7-8,GER,0121,MERGERS CONSOL STATEM,"Singh,Sonia R;",,,,
ACG,5226,$4.35,12DE,2,M W,5-6,GER,0121,MERGERS CONSOL STATEM,"Singh,Sonia R;",,,,
ACG,5637,$6.50,0197,3,M W,3-4,GER,0228,AUDITING 1,"Leiby,Justin;",,,,
ACG,5637,$6.50,12E6,3,M W,5-6,GER,0228,AUDITING 1,"Leiby,Justin;",,,,
ACG,5815,$4.35,04C9,2,M W,5-6,GER,0229,ACC INST & PROF LIT,"Rupar,Katarzyna;",,,,
ACG,5815,$4.35,4852,2,M W,7-8,GER,0229,ACC INST & PROF LIT,"Rupar,Katarzyna;",,,,
ACG,6207,$4.35,3294,2,M W,5-6,GER,0229,AC ISSUES FIN RISK,"Madsen,Paul;",,,,
ACG,6207,$4.35,3375,2,M W,7-8,GER,0229,AC ISSUES FIN RISK,"Madsen,Paul;",,,,
ACG,6387,$4.35,12FA,2,T R,7-8,GER,0228,STRATEGIC COSTING,"Leiby,Justin;",,,,
ACG,6387,$4.35,12F5,2,T R,5-6,GER,0228,STRATEGIC COSTING,"Leiby,Justin;",,,,
ACG,6657,$4.35,126A,2,T R,5-6,GER,0121,AUDIT CORP GOVERNANCE,"Falk,Christopher W;",,,,
ACG,6657,$4.35,1263,2,T R,7-8,GER,0121,AUDIT CORP GOVERNANCE,"Falk,Christopher W;",,,,
ACG,6888,$4.35,04D8,2,M W,3-4,GER,0122,FOUNDAT MEASUREMENT,"Kirk,Marcus;",,,,
ACG,6888,$4.35,1947,2,M W,5-6,GER,0122,FOUNDAT MEASUREMENT,"Kirk,Marcus;",,,,
ACG,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Asare,Stephen K;",,,,
TAX,4001,,DEPT,3,T R,3-4,GER,0228,INTRO FED INCOME TAX,"Singh,Sonia R;",,,,
TAX,5005,$6.50,5296,3,T R,9-10,GER,0126,INTRO FED INCOME TAX,"Boyles,Jesse V;",,,,
TAX,5065,$4.35,4729,2,T R,5-6,GER,0228,TAX PROF RESEARCH,"Boyles,Jesse V;",,,,
TAX,5065,$4.35,5337,2,T R,7-8,GER,0228,TAX PROF RESEARCH,"Boyles,Jesse V;",,,,
TAX,6526,$4.35,4760,2,M W,5-6,GER,0121,ADV INTERNAT TAXATION,"Mcgill,Gary A;",,,,
TAX,6526,$4.35,4788,2,M W,7-8,GER,0121,ADV INTERNAT TAXATION,"Mcgill,Gary A;",,,,
TAX,6726,$4.35,1206,2,M W,3-4,GER,0122,EXEC TAX PLANNING,"Garvin,Deborah R;",,,,
TAX,6726,$4.35,121A,2,M W,5-6,GER,0122,EXEC TAX PLANNING,"Garvin,Deborah R;",,,,
ADV,3001,,08E1,3,M,6-7,WEIM,1084,ADVERTISING STRATEGY,"Starr,Walter J;",W,7,WEIM,1084
