coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,,02DG,4,TBA,,,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2071,,02D1,4,TBA,,,,INTRO MANAGERIAL ACCT,"Schadewald,Michael;",,,,
ACG,3101,,165D,4,M W,3-4,GER,0126,FIN ACCOUNTING REP 1,"Singh,Sonia R;",,,,
ACG,3101,,1685,4,M W,5-6,GER,0126,FIN ACCOUNTING REP 1,"Singh,Sonia R;",,,,
ACG,3401,,03G4,4,T R,1-2,GER,0126,BUS PROC ACG INFO SYS,"Falk,Christopher W;",,,,
ACG,3401,,1665,4,T R,3-4,GER,0126,BUS PROC ACG INFO SYS,"Falk,Christopher W;",,,,
ACG,3802,,0420,1,R,11E1,GER,0126,PROF SPEAKERS SERIES,"Boyles,Jesse V;",,,,
ACG,4111,,1010,4,T R,7-8,GER,0126,FIN ACCOUNTING REP 2,"Weng,Diana L;",,,,
ACG,4341,,1045,4,M W,7-8,GER,0126,COST MGMNT ACCOUNTING,"Impink,Johannes;",,,,
ACG,4970,,DEPT,1,TBA,,,,HONORS THESIS,"Laibson,John;",,,,
ACG,5005,,DEPT,2,T R,3-4,HGS,340,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5005,,DEPT,2,T R,7-8,HGS,340,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5005,,DEPT,2,T R,5-6,HGS,340,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5075,,DEPT,2,T R,3-4,HGS,250,MANAGERIAL ACCOUNTING,"Impink,Johannes;",,,,
ACG,5075,,DEPT,2,T R,1-2,HGS,250,MANAGERIAL ACCOUNTING,"Impink,Johannes;",,,,
ACG,5075,,DEPT,2,T R,7-8,HGS,250,MANAGERIAL ACCOUNTING,"Impink,Johannes;",,,,
ACG,5637,,11E6,2,M W,7-8,GER,0121,AUDITING 1,"Bowler,Blake;",,,,
ACG,5637,,2C91,2,M W,9-10,GER,0126,AUDITING 1,STAFF;,,,,
ACG,5647,,03EG,2,M W,7-8,GER,0121,AUDITING 2,"Bowler,Blake;",,,,
ACG,5647,,03E0,2,M W,9-10,GER,0126,AUDITING 2,"Bowler,Blake;",,,,
ACG,6136,,1690,2,T R,3-4,GER,0229,ACCOUNTING THEORY,"Tucker,Jennifer Wu;",,,,
ACG,6136,,17A4,2,T R,5-6,GER,0229,ACCOUNTING THEORY,STAFF;,,,,
ACG,6207,,2D42,2,M W,5-6,GER,0229,ACCOUNTING FOR RISK,"Madsen,Paul;",,,,
ACG,6207,,2D43,2,M W,7-8,GER,0229,ACCOUNTING FOR RISK,"Madsen,Paul;",,,,
ACG,6635,,09D6,2,M W,3-4,GER,0122,ISSUES AUDIT PRACTICE,"Knechel,W Robert;",,,,
ACG,6635,,09D7,2,M W,5-6,GER,0122,ISSUES AUDIT PRACTICE,"Knechel,W Robert;",,,,
ACG,6697,,1B22,2,M W,3-4,GER,0121,INFO SYS ASSURANCE,"Falk,Christopher W;",,,,
ACG,6697,,1B38,2,M W,5-6,GER,0121,INFO SYS ASSURANCE,"Falk,Christopher W;",,,,
ACG,7885,,DEPT,4,TBA,,,,ACCOUNTING RESEARCH 1,"Tucker,Jennifer Wu;",,,,
ACG,7886,,DEPT,4,TBA,,,,ACCOUNTING RESEARCH 2,"Tucker,Jennifer Wu;",,,,
ACG,7887,,DEPT,3,TBA,,,,RESEARCH ANALYSIS,"Tucker,Jennifer Wu;",,,,
ACG,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Tucker,Jennifer Wu;",,,,
ACG,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,"Tucker,Jennifer Wu;",,,,
TAX,5025,,03E9,2,T R,5-6,GER,0122,FEDERAL INCOME TAX 1,"Watson,Val Lucas;",,,,
TAX,5025,,03FC,2,T R,7-8,GER,0122,FEDERAL INCOME TAX 1,"Watson,Val Lucas;",,,,
TAX,5025,,03FD,2,T R,5-6,GER,0121,FEDERAL INCOME TAX 1,"Boyles,Jesse V;",,,,
TAX,5027,,03FE,2,T R,5-6,GER,0122,FEDERAL INCOME TAX 2,"Watson,Val Lucas;",,,,
TAX,5027,,03FF,2,T R,7-8,GER,0122,FEDERAL INCOME TAX 2,"Watson,Val Lucas;",,,,
TAX,5027,,03F0,2,T R,5-6,GER,0121,FEDERAL INCOME TAX 2,"Boyles,Jesse V;",,,,
TAX,6105,,01H9,2,M W,5-6,GER,0122,CORPORATE TAXATION,STAFF;,,,,
TAX,6105,,2110,2,M W,7-8,GER,0122,CORPORATE TAXATION,STAFF;,,,,
TAX,6115,,2D54,2,T R,7-8,GER,0228,ADV CORP TAXATION,"Boyles,Jesse V;",,,,
TAX,6115,,2D57,2,T R,9-10,GER,0228,ADV CORP TAXATION,"Boyles,Jesse V;",,,,
TAX,6877,,02B9,2,M W,7-8,GER,0122,STATE AND LOCAL TAX,"Watson,Val Lucas;",,,,
ADV,3001,,03G9,3,M,9-10,WEIM,G030,ADVERTISING STRATEGY,"Kim,Eunice E;",W,9,WEIM,G030
ADV,3001,,1H32,3,T,2,MAEB,0238,ADVERTISING STRATEGY,"Clark,Lawrence Milton;",R,2-3,MAEB,0238
ADV,3001,,2866,3,T,3-4,WEIM,1076,ADVERTISING STRATEGY,"Clark,Lawrence Milton;",R,4,WEIM,1076
ADV,3008,,0052,3,T,3-4,MCCC,0100,PRINCIPLE OF ADVERTIS,STAFF;,R,3,MCCC,0100
ADV,3008,,282D,3,,,WEB,,PRINCIPLE OF ADVERTIS,STAFF;,,,,
ADV,3302,,04GC,3,W,3-5,WEIM,G030,GREAT IDEAS MKPL COM,"Morris,Jon D;",,,,
ADV,3500,,0311,3,M,8,WEIM,1076,ADVERTISING RESEARCH,STAFF;,W,8-9,WEIM,1076
ADV,3500,,1A41,3,T,5-6,WEIL,0238,ADVERTISING RESEARCH,STAFF;,R,5,WEIL,0238
ADV,3500,,11E5,3,M,6,WEIM,1076,ADVERTISING RESEARCH,STAFF;,W,5-6,WEIM,1076
ADV,3502,,1B21,3,,,WEB,,ADVERTISING SALES,STAFF;,,,,
ADV,4101,,02D2,3,M W,6-7,WEIM,2056,COPY & VISUALIZATION,STAFF;,,,,
ADV,4101,,04BH,3,T R,7-8,WEIM,2050,COPY & VISUALIZATION,STAFF;,,,,
ADV,4101,,0618,3,T,3-4,WEIM,2050,COPY & VISUALIZATION,STAFF;,R,3-4,WEIM,2056
ADV,4101,,8306,3,T,5-6,WEIM,2050,COPY & VISUALIZATION,STAFF;,R,5-6,WEIM,2056
ADV,4101,,8883,3,,,WEB,,COPY & VISUALIZATION,STAFF;,,,,
ADV,4300,,1A30,3,M,4-5,WEIM,1070,MEDIA PLANNING,STAFF;,W,4,WEIM,1070
ADV,4300,,104C,3,T,6,WEIM,1094,MEDIA PLANNING,STAFF;,R,5-6,WEIM,1094
ADV,4300,,24FH,3,M,8-9,FLG,0245,MEDIA PLANNING,"Starr,Walter J;",W,8,FLG,0245
ADV,4400,,21B3,3,,,WEB,,INTERNATNL ADVERTISNG,STAFF;,,,,
ADV,4800,,1040,3,R,4-6,WEIM,G030,ADVERTISING CAMPAIGNS,"Morris,Jon D;",,,,
