coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,,02F7,4,,,WEB*,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,5005,,DEPT,2,M W,4-5,HGS,140,FINANCIAL ACCOUNTING,"Falk,Christopher W;",,,,
ACG,5226,,0007,2,T R,5-6,GER,0121,ADVANCED ACCOUNTING,"Parris,Ryan K;",,,,
ACG,2071,,4F42,4,,,WEB*,,INTRO MANAGERIAL ACCT,"Schadewald,Michael;",,,,
ACG,5815,,4003,2,M W,1-2,GER,0121,ACCOUNTING REGULATION,"Singh,Sonia R;",,,,
TAX,5065,,4D83,2,T R,1-2,GER,0122,TAX PROF RESEARCH,"Boyles,Jesse V;",,,,
TAX,5065,,4D84,2,T R,3-4,GER,0122,TAX PROF RESEARCH,"Boyles,Jesse V;",,,,
ACG,4111,,7H01,4,M W,3-4,GER,0126,FIN ACCOUNTING REP 2,"Weng,Diana L;",,,,
ACG,4341,,7134,4,T R,3-4,GER,0126,COST MGMNT ACCOUNTING,"Piao,Zhenhao;",,,,
ACG,4941,,DEPT,VAR,TBA,,,,SUPERVISED INTERNSHIP,"Laibson,John;",,,,
ACG,4970,,DEPT,1,TBA,,,,HONORS THESIS,"Laibson,John;",,,,
ADV,3001,,0487,3,MTWRF,3,WM,0202,ADVERTISING STRATEGY,"Clark,Lawrence Milton;",,,,
ADV,3008,,0009,3,MTWRF,6,AND,0034,PRINCIPLE OF ADVERTIS,"Morton Padovano,Cynthia R;",,,,
ADV,3403,,0489,3,MTWRF,4,WM,0202,BRANDING,"Bradshaw,Amanda S;",,,,
ADV,3500,,0012,3,MTWRF,2,WM,0202,DIGITAL INSIGHTS,"Chung,Yoo Jin;",,,,
ADV,4101,,1063,3,TWR,3-4,WEIM,2056,COPY & VISUALIZATION,"Goodman,Jennifer Robyn Potter;",,,,
ADV,4300,,0649,3,MTWRF,6,WM,0202,MEDIA PLANNING,"Hope,Lisa C;",,,,
ADV,4905,,DEPT,VAR,,,WEB,,INDIVIDUAL PROBLEMS,"Kelleher,Thomas A;",,,,
ADV,4940,,DEPT,VAR,,,WEB,,ADVERTISING INTERNSHP,"Kelleher,Thomas A;",,,,
MMC,2100,,DEPT,3,,,WEB,,WRITING MASS COMMUNIC,"Marino,Robert M;",,,,
MMC,2100,,DEPT,3,,,WEB,,WRITING MASS COMMUNIC,"Marino,Robert M;Mccrory,Sean P;",,,,
ADV,4940,,DEPT,VAR,,,WEB,,ADVERTISING INTERNSHP,"Kelleher,Thomas A;",,,,
ADV,3001,,7C31,3,,,WEB,,ADVERTISING STRATEGY,"Hughes,Robert;",,,,
ADV,3008,,7B46,3,,,WEB,,PRINCIPLE OF ADVERTIS,"Kelly,Kelly Lee;",,,,
ADV,3502,,7E39,3,,,WEB,,ADVERTISING SALES,"Padovano,Robert;",,,,
ADV,4101,,7A10,3,,,WEB,,COPY & VISUALIZATION,"Stude,Tyrone;",,,,
ADV,4400,,8763,3,,,WEB,,INTERNATNL ADVERTISNG,"Padovano,Robert;",,,,
