coursePrefix,courseNum,fee,section,credits,prof,title,days,times,building,room,days2,times2,building2,room2
ALS,5156,0,10361,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ALS,5156,0,10362,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ALS,5156,0,10363,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
PCB,5338,0,21168,3,Jeremy Lichstein,Principles of Ecosystem Ecology,W,4-5,,,F,4,,
FAS,5901,0,14856,2,William Lindberg,Scientific Thinking in Ecology,W,2-3,,,,,,
EES,6007,0,25734,3,Katherine Deliz Quinones,Advanced Energy and Environment,,,,,,,,
EES,6007,0,28471,3,Katherine Deliz Quinones,Advanced Energy and Environment,,,,,,,,
EES,6007,0,28472,3,Katherine Deliz Quinones,Advanced Energy and Environment,,,,,,,,
PCB,5415C,0,21358,4,Rebecca Kimball,Behavioral Ecology,"M,W",6-7,,,,,,
WIS,6468C,0,23110,3,Robert Fletcher,Pattern and Process in Landscape Ecology,,,,,R,7-8,,
ZOO,6927,0,20185,2,Edward Stanley,Special Topics in Zoology: CT FOR BIOLOGISTS,M,4-5,,,,,,
ZOO,6927,0,20194,1,"Nicoletta Cellinese,Robert Guralnick,Pamela Soltis,Douglas Soltis,Lucas Majure",Special Topics in Zoology: PHYLOGENETICS SYS SEM,M,3,,,,,,
ZOO,6927,0,20196,VAR,Marta Wayne,Special Topics in Zoology: SPECIAL TOPICS,,,,,,,,
ZOO,6927,0,26586,3,Edward Braun,"Special Topics in Zoology: Big Data,Sequence Capture Data",M,4,,,W,3-4,,
ZOO,6927,0,26697,4,Christopher Dutton,Special Topics in Zoology: Data Collection With Open Tec,"M,W",3-4,,,,,,
ZOO,6927,0,27036,2,Hua Yan,Special Topics in Zoology: Epigenetics and Human Disease,"M,W,F",2,,,,,,
ZOO,6927,0,27573,3,"Bruce Macfadden,Jonathan Bloch",Special Topics in Zoology: Vertebrate Paleontology,"W,F",3-4,,,,,,
ZOO,6927,0,28094,VAR,Marta Wayne,Special Topics in Zoology,,,,,,,,
ZOO,6927,0,28116,3,Jose Ponciano Castellanos,Special Topics in Zoology: How to save your experiments,"T,R",6-7,,,,,,
ZOO,6927,0,28407,1,Malcolm Maden,Special Topics in Zoology: Milestones in Development,R,4,,,,,,
ZOO,6927,0,28691,VAR,David Julian,Special Topics in Zoology: Research Scholarship Seminar,F,7,,,,,,
ENV,6932,0,13398,3,Timothy Townsend,Special Problems in Environmental Engineering: CONS/DEMO DEBRIS MGMT,,,,,,,,
ENV,6932,69.99,13399,3,Timothy Townsend,Special Problems in Environmental Engineering: CONS/DEMO DEBRIS MGMT,,,,,,,,
ENV,6932,0,22072,3,Myoseon Jang,Special Problems in Environmental Engineering: Atmospheric Chem & Physics,"M,W,F",2,,,,,,
ENV,6932,0,22141,3,Andrew Altieri,Special Problems in Environmental Engineering: Ecosystem Engineers,T,4,,,R,4-5,,
ENV,6932,0,25765,3,Katherine Todd-Brown,Special Problems in Environmental Engineering: Environmental Systems Dynamics,"M,W,F",8,,,,,,
ENV,6932,0,25766,3,Sara Behdad,Special Problems in Environmental Engineering: Sys Anlys 4 Sus Des & LC Dec,T,2-3,,,R,3,,
ENV,6932,0,27766,3,Katherine Todd-Brown,Special Problems in Environmental Engineering: Environmental Systems Dynamics,"M,W,F",8,NEB,0202,,,,
ENV,6932,0,27770,3,Sara Behdad,Special Problems in Environmental Engineering: Sys Anlys 4 Sus Des & LC Dec,,,,,T,2,NEB,0202
ENV,6932,0,27774,3,Andrew Altieri,Special Problems in Environmental Engineering: Ecosystem Engineers,,,,,T,4,NEB,0202
ENV,6932,0,28546,VAR,Myoseon Jang,Special Problems in Environmental Engineering: Atmospheric Chem & Physics,,,,,,,,
ENV,6932,0,28547,VAR,Myoseon Jang,Special Problems in Environmental Engineering: Atmospheric Chem & Physics,,,,,,,,
ENV,6932,0,28548,VAR,Andrew Altieri,Special Problems in Environmental Engineering: Ecosystem Engineers,,,,,,,,
ENV,6932,0,28549,VAR,Andrew Altieri,Special Problems in Environmental Engineering: Ecosystem Engineers,,,,,,,,
ENV,6932,0,28550,VAR,Sara Behdad,Special Problems in Environmental Engineering: Sys Anlys 4 Sus Des & LC Dec,,,,,,,,
ENV,6932,0,28551,VAR,Sara Behdad,Special Problems in Environmental Engineering: Sys Anlys 4 Sus Des & LC Dec,,,,,,,,
ENV,6932,0,28552,VAR,Katherine Todd-Brown,Special Problems in Environmental Engineering: Environmental Systems Dynamics,,,,,,,,
ENV,6932,0,28553,VAR,Katherine Todd-Brown,Special Problems in Environmental Engineering: Environmental Systems Dynamics,,,,,,,,
ENV,6932,0,28554,VAR,Timothy Townsend,Special Problems in Environmental Engineering: CONS/DEMO DEBRIS MGMT,,,,,,,,
ENY,6203,0,13011,3,Philip Hahn,Insect Ecology,"M,W,F",3,,,,,,
ENY,6203,0,13012,3,Philip Hahn,Insect Ecology,,,,,,,,
ENY,6203,0,13013,3,Philip Hahn,Insect Ecology,,,,,,,,
ENY,6203,0,13014,3,Philip Hahn,Insect Ecology,,,,,,,,
ENY,6203L,0,13015,1,Philip Hahn,Insect Ecology Laboratory,W,7-8,EYN,3118,,,,
ENY,6203L,0,13016,1,Philip Hahn,Insect Ecology Laboratory,,,,,,,,
