coursePrefix,courseNum,fee,section,credits,prof,title,days,times,building,room,days2,times2,building2,room2
ALS,5156,12.99,10293,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ALS,5156,12.99,10294,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ALS,5156,0.0,10295,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ALS,5156,0.0,25719,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
PCB,5338,0.0,18881,3,Jeremy Lichstein,Principles of Ecosystem Ecology,W,4-5,CRR,0521,F,4,CRR,0521
PCB,5338,0.0,29062,3,Jeremy Lichstein,Principles of Ecosystem Ecology,W,4-5,,,F,4,,
FAS,5901,0.0,14056,2,Patrick Baker,Scientific Thinking in Ecology,W,8-9,ROG,0106,,,,
EES,6007,57.99,21730,3,Katherine Deliz Quinones,Advanced Energy and Environment,T,5-6,NEB,0102,R,6,NEB,0102
EES,6007,57.99,23430,3,Katherine Deliz Quinones,Advanced Energy and Environment,,,,,,,,
EES,6007,0.0,23431,3,Katherine Deliz Quinones,Advanced Energy and Environment,,,,,,,,
PCB,5415C,0.0,18981,4,Rebecca Kimball,Behavioral Ecology,"M,W",6-7,CRR,0521,,,,
ZOO,6927,0.0,18090,2,Edward Stanley,Special Topics in Zoology: CT FOR BIOLOGISTS,M,4-5,CRR,0611,,,,
ZOO,6927,0.0,18095,1,"Nico Cellinese,Lucas Majure,Douglas Soltis,Pam Soltis,David Blackburn",Special Topics in Zoology: PHYLOGENETICS SYS SEM,M,3,CRR,0222,,,,
ZOO,6927,0.0,18096,2,Charles Baer,Special Topics in Zoology: PRIN OF GRAD.TRAINING,W,4-5,CRR,0222,,,,
ZOO,6927,0.0,18097,VAR,William Barbazuk,Special Topics in Zoology: SPECIAL TOPICS,,,,,,,,
ZOO,6927,0.0,19222,2,"David Blackburn,Michelle Lefebvre",Special Topics in Zoology: Intro Natural History Museums,T,3-5,CRR,0222,,,,
ZOO,6927,0.0,22079,3,Michal Kowalewski,Special Topics in Zoology: Data & Analysis in Natural Sci,"M,W,F",3,WM,0218,W,7-8,WM,0218
ZOO,6927,0.0,24730,1,Norman Douglas,Special Topics in Zoology: Practical Pedagogy,W,E1-E2,CRR,0222,,,,
ZOO,6927,0.0,25094,3,Bryndan Durham,Special Topics in Zoology: MICROBIAL OCEANOGRAPHY,T,3,CGRC,436,R,3-4,CGRC,436
ZOO,6927,0.0,26700,3,Ana Longo,Special Topics in Zoology: Measuring Microbial Diversity,W,3-5,CRR,0611,,,,
ZOO,6927,0.0,26737,3,Jose Ponciano Castellanos,Special Topics in Zoology: Statistical Ecology,"M,W,F",7,BAR,0211,,,,
ZOO,6927,0.0,26738,1,Jose Ponciano Castellanos,Special Topics in Zoology: Sem.State Space Models Methods,T,7,BAR,0211,,,,
ZOO,6927,0.0,28488,1,Regina Rodriguez,Special Topics in Zoology: PhD Fellowship Preparation,R,10,FAB,0105,,,,
ENV,6932,0.0,21748,3,Sara Behdad,Special Problems in Environmental Engineering: Sys Anlys 4 Sus Des & LC Dec,T,2-3,BLK,0315,R,3,BLK,0315
ENV,6932,0.0,24653,3,Sara Behdad,Special Problems in Environmental Engineering: AI AND ML IN ENV ENG,T,7,BLK,0315,R,7-8,BLK,0315
ENV,6932,0.0,26905,3,James Cahill,Special Problems in Environmental Engineering: Env Genomics,T,4,BLK,0315,R,4-5,BLK,0315
ENV,6932,0.0,26907,3,Myoseon Jang,Special Problems in Environmental Engineering: Atmos Chem & Phy,M,7-8,BLK,0221,W,7-8,BLK,0221
ENV,6932,0.0,27205,2,Kathe Todd-Brown,Special Problems in Environmental Engineering: Systems Ecology Seminar,"T,R",4,CHE,0316,,,,
ENV,6932,0.0,27206,2,Kathe Todd-Brown,Special Problems in Environmental Engineering: Systems Ecology Seminar,,,,,,,,
ENV,6932,0.0,27207,2,Kathe Todd-Brown,Special Problems in Environmental Engineering: Systems Ecology Seminar,,,,,,,,
ENV,6932,0.0,28390,2,Jennifer Lomberk,Special Problems in Environmental Engineering: FL Marine&Coastal Law & Policy,M,6-7,PSY,0129,,,,
ENY,6203,0.0,12553,3,Phil Hahn,Insect Ecology,"M,W,F",5,EYN,1031,,,,
ENY,6203,0.0,12554,3,Phil Hahn,Insect Ecology,,,,,,,,
ENY,6203,0.0,12555,3,Phil Hahn,Insect Ecology,,,,,,,,
ENY,6203,0.0,12556,3,Phil Hahn,Insect Ecology,,,,,,,,
ENY,6203,0.0,26075,3,Phil Hahn,Insect Ecology,,,,,,,,
ENY,6203L,15.0,12557,1,Phil Hahn,Insect Ecology Laboratory,W,7-8,EYN,3118,,,,
ENY,6203L,0.0,12558,1,Phil Hahn,Insect Ecology Laboratory,,,,,,,,
ENY,6203L,0.0,12559,1,Phil Hahn,Insect Ecology Laboratory,,,,,,,,
ENY,6203L,0.0,12560,1,Phil Hahn,Insect Ecology Laboratory,,,,,,,,
FAS,6272,0.0,14074,3,Donald Behringer,Marine Ecological Processes,T,3-4,NZH,0222,R,3,NZH,0222
FAS,6272,0.0,14075,3,Donald Behringer,Marine Ecological Processes,,,,,,,,
FAS,6272,27.99,14076,3,Donald Behringer,Marine Ecological Processes,,,,,,,,
FAS,6932,0.0,13732,3,William Patterson,Special Topics in Fisheries and Aquatic Sciences: BIOLOGY OF FISHES,,,,,,,,
FAS,6932,0.0,13733,3,William Patterson,Special Topics in Fisheries and Aquatic Sciences: BIOLOGY OF FISHES,,,,,,,,
FAS,6932,0.0,13879,3,Nicholas Funicelli,Special Topics in Fisheries and Aquatic Sciences: MARINE PROTECTED AREA,,,,,,,,
FAS,6932,0.0,13880,3,William Patterson,Special Topics in Fisheries and Aquatic Sciences: BIOLOGY OF FISHES,,,,,,,,
FAS,6932,0.0,13882,3,Nicholas Funicelli,Special Topics in Fisheries and Aquatic Sciences: MARINE PROTECTED AREA,,,,,,,,
