coursePrefix,courseNum,fee,section,credits,prof,title,days,times,building,room,days2,times2,building2,room2
ALS,5156,54.99,10361,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ALS,5156,54.99,10362,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ALS,5156,0.0,10363,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ALS,5156,0.0,10364,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ANG,6086,0.0,10425,3,Augusto Oyuela-Caycedo,Historical Ecology,,,,,F,6-8,RNK,0215
PCB,6447C,10.0,25122,4,"Robert Holt,Mathew Leibold",Community Ecology,"T,R",6-7,NRN,1-130,,,,
WIS,5555C,0.0,20794,3,Lyn Branch,Conservation Biology,R,4-6,WEIM,1076,,,,
WIS,6455,0.0,20798,3,Madan Oli,Wildlife Population Ecology,"M,W,F",3,LAR,0310,,,,
ZOO,6927,0.0,20371,VAR,Marta Wayne,Special Topics in Zoology: SPECIAL TOPICS,,,,,,,,
ZOO,6927,0.0,20372,2,Jonathan Bloch,Special Topics in Zoology: FL. Verterbrate Paleontology,M,4-5,MAEB,0238,,,,
ZOO,6927,0.0,21719,2,Rebecca Kimball,Special Topics in Zoology: GRANT WRITING SEMINAR,W,4-5,MAEB,0238,,,,
ZOO,6927,0.0,21941,3,Jose Ponciano Castellanos,Special Topics in Zoology: Statistical Ecology,"M,W,F",2,BAR,0211,,,,
ZOO,6927,0.0,23738,VAR,Gustav Paulay,Special Topics in Zoology: INVERT BIODIVERSITY CORAL REEF,"M,W,F",3-6,CRR,0120,,,,
ZOO,6927,0.0,23739,VAR,Christopher Dutton,Special Topics in Zoology: RSRCH SKILLS WITH ARDUINO & R,"M,F",3-4,CRR,0611,"T,R",3-5,CRR,0611
ZOO,6927,0.0,23775,VAR,"Robert Fletcher,Robert Guralnick",Special Topics in Zoology: Species Distribution Modeling,T,7-8,MCCB,3096,,,,
ZOO,6927,0.0,23963,3,Hannah Vander Zanden,Special Topics in Zoology: Stable Isotope Ecology,W,4-5,CRR,0611,F,4,PSY,0129
ZOO,6927,0.0,23975,4,"Jose Ponciano Castellanos,Emily Sessa",Special Topics in Zoology: Phylogenomics,"T,R",3-4,ROL,0105,,,,
ZOO,6927,0.0,25158,2,Harvey Lillywhite,Special Topics in Zoology: Sem. Comtemporary Herpetology,R,6-7,ROG,0106,,,,
ZOO,6927,0.0,25400,3,Amanda Subalusky,Special Topics in Zoology: Zoogeochemistry,M,6,CRR,0611,W,6-7,CRR,0611
ZOO,6927,0.0,25646,1,Constance Rich,Special Topics in Zoology: Applications in Evo Devo,T,5,,,,,,
ENV,6932,45.0,13250,3,William Wallace,Special Problems in Environmental Engineering: PRIN OF SUST INFRASTRUCTURE,,,,,,,,
ENV,6932,0.0,13251,3,William Wallace,Special Problems in Environmental Engineering: PRIN OF SUST INFRASTRUCTURE,,,,,,,,
ENV,6932,0.0,22102,3,Elliot Douglas,Special Problems in Environmental Engineering: ENG ETHICS & ENV JUST,T,5,LAR,0310,,,,
ENV,6932,0.0,22715,3,Steven Laux,Special Problems in Environmental Engineering: SOLID WASTE SYSTEM DES,M,8-10,BLK,0315,,,,
FAS,6932,0.0,13180,3,"Daniel Canfield,Charles Cichra",Special Topics in Fisheries and Aquatic Sciences: FISH AND LIMNOLOGY,T,5,MCCA,3194,R,5-9,MCCA,3194
FAS,6932,0.0,13212,3,"Robert Ahrens,William Pine",Special Topics in Fisheries and Aquatic Sciences: MGMT EXPLOIT. POPULAT,M,4-5,MCCB,3124,W,4,MCCB,3124
FAS,6932,0.0,24069,3,Jeffrey Hill,Special Topics in Fisheries and Aquatic Sciences: Invasion Ecology,,,,,,,,
FAS,6932,0.0,24070,3,Jeffrey Hill,Special Topics in Fisheries and Aquatic Sciences: Invasion Ecology,,,,,,,,
FAS,6932,0.0,24071,3,Jeffrey Hill,Special Topics in Fisheries and Aquatic Sciences: Invasion Ecology,,,,,,,,
FAS,6932,0.0,24745,3,Lindsey Reisinger,Special Topics in Fisheries and Aquatic Sciences: Global Change Freshwater Eco,T,3-4,NZH,0222,R,3,NZH,0222
FAS,6932,0.0,24984,3,Jeffrey Hill,Special Topics in Fisheries and Aquatic Sciences: Invasion Ecology,,,,,,,,
LAS,6938,0.0,15773,3,Maria Martinez Novo,Seminar in Modern Latin American Studies: Political Economy,R,9-11,LIT,0237,,,,
LAS,6938,0.0,15800,3,Welson Tremura,Seminar in Modern Latin American Studies: Ethno Musicolgies,T,7-9,MAT,0005,,,,
LAS,6938,0.0,15801,3,Maria Martinez Novo,Seminar in Modern Latin American Studies: Indigenous Ontologies,T,7-9,MAT,0010,,,,
LAS,6938,0.0,15802,3,Susan Paulson,"Seminar in Modern Latin American Studies: MASCULINITIES, Gender & ENVIR",R,6-8,GRI,0376,,,,
